species,demographic_life_stage,authority,nutrient_id,metric,value_numeric,unit
canine,puppy,AAFCO,phenylalanine_tyrosine,MIN_per_1000kcal,3.25,g_per_1000kcal
canine,puppy,AAFCO,threonine,MIN_per_1000kcal,2.6,g_per_1000kcal
canine,puppy,AAFCO,tryptophan,MIN_per_1000kcal,0.5,g_per_1000kcal
canine,puppy,AAFCO,valine,MIN_per_1000kcal,1.7,g_per_1000kcal
canine,puppy,AAFCO,lipid,MIN_per_1000kcal,21.3,g_per_1000kcal
canine,puppy,AAFCO,c18_d2_n6_cis_cis,MIN_per_1000kcal,3.3,g_per_1000kcal
canine,puppy,AAFCO,c18_d3_n3_cis_cis_cis,MIN_per_1000kcal,0.2,g_per_1000kcal
canine,puppy,AAFCO,epa_dha,MIN_per_1000kcal,0.1,g_per_1000kcal
canine,puppy,AAFCO,calcium,MIN_per_1000kcal,3000,mg_per_1000kcal
canine,puppy,AAFCO,phosphorus,MIN_per_1000kcal,2500,mg_per_1000kcal
canine,puppy,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
canine,puppy,AAFCO,sodium,MIN_per_1000kcal,800,mg_per_1000kcal
canine,puppy,AAFCO,chloride,MIN_per_1000kcal,1100,mg_per_1000kcal
canine,puppy,AAFCO,magnesium,MIN_per_1000kcal,150,mg_per_1000kcal
canine,puppy,AAFCO,iron,MIN_per_1000kcal,22,mg_per_1000kcal
canine,puppy,AAFCO,copper,MIN_per_1000kcal,3.1,mg_per_1000kcal
canine,puppy,AAFCO,manganese,MIN_per_1000kcal,1.8,mg_per_1000kcal
canine,puppy,AAFCO,zinc,MIN_per_1000kcal,25,mg_per_1000kcal
canine,puppy,AAFCO,iodine,MIN_per_1000kcal,250,mcg_per_1000kcal
canine,puppy,AAFCO,selenium,MIN_per_1000kcal,90,mcg_per_1000kcal
canine,puppy,AAFCO,vitamin_a,MIN_per_1000kcal,375,mcg_per_1000kcal
canine,puppy,AAFCO,vitamin_d,MIN_per_1000kcal,3.125,mcg_per_1000kcal
canine,puppy,AAFCO,alpha_tocopherol,MIN_per_1000kcal,8.375,mg_per_1000kcal
canine,puppy,AAFCO,thiamin,MIN_per_1000kcal,0.56,mg_per_1000kcal
canine,puppy,AAFCO,riboflavin,MIN_per_1000kcal,1.3,mg_per_1000kcal
canine,puppy,AAFCO,vitamin_b5,MIN_per_1000kcal,3,mg_per_1000kcal
canine,puppy,AAFCO,niacin,MIN_per_1000kcal,3.4,mg_per_1000kcal
canine,puppy,AAFCO,vitamin_b6,MIN_per_1000kcal,0.38,mg_per_1000kcal
canine,puppy,AAFCO,folate,MIN_per_1000kcal,54,mcg_per_1000kcal
canine,puppy,AAFCO,cyanocobalamin,MIN_per_1000kcal,7,mcg_per_1000kcal
canine,puppy,AAFCO,choline,MIN_per_1000kcal,340,mg_per_1000kcal
canine,puppy,AAFCO,calcium,MAX_per_1000kcal,6250,mg_per_1000kcal
canine,puppy,AAFCO,phosphorus,MAX_per_1000kcal,4000,mg_per_1000kcal
canine,puppy,AAFCO,iodine,MAX_per_1000kcal,2750,mcg_per_1000kcal
canine,puppy,AAFCO,selenium,MAX_per_1000kcal,500,mcg_per_1000kcal
canine,puppy,AAFCO,vitamin_a,MAX_per_1000kcal,18750,mcg_per_1000kcal
canine,puppy,AAFCO,vitamin_d,MAX_per_1000kcal,18.75,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,protein,MIN_per_1000kcal,56.3,g_per_1000kcal
canine,puppy_large_breed,AAFCO,arginine,MIN_per_1000kcal,2.5,g_per_1000kcal
canine,puppy_large_breed,AAFCO,histidine,MIN_per_1000kcal,1.1,g_per_1000kcal
canine,puppy_large_breed,AAFCO,isoleucine,MIN_per_1000kcal,1.78,g_per_1000kcal
canine,puppy_large_breed,AAFCO,leucine,MIN_per_1000kcal,3.23,g_per_1000kcal
canine,puppy_large_breed,AAFCO,lysine,MIN_per_1000kcal,2.25,g_per_1000kcal
canine,puppy_large_breed,AAFCO,methionine,MIN_per_1000kcal,0.88,g_per_1000kcal
canine,puppy_large_breed,AAFCO,methionine_cystine,MIN_per_1000kcal,1.75,g_per_1000kcal
canine,puppy_large_breed,AAFCO,phenylalanine,MIN_per_1000kcal,2.08,g_per_1000kcal
canine,puppy_large_breed,AAFCO,phenylalanine_tyrosine,MIN_per_1000kcal,3.25,g_per_1000kcal
canine,puppy_large_breed,AAFCO,threonine,MIN_per_1000kcal,2.6,g_per_1000kcal
canine,puppy_large_breed,AAFCO,tryptophan,MIN_per_1000kcal,0.5,g_per_1000kcal
canine,puppy_large_breed,AAFCO,valine,MIN_per_1000kcal,1.7,g_per_1000kcal
canine,puppy_large_breed,AAFCO,lipid,MIN_per_1000kcal,21.3,g_per_1000kcal
canine,puppy_large_breed,AAFCO,c18_d2_n6_cis_cis,MIN_per_1000kcal,3.3,g_per_1000kcal
canine,puppy_large_breed,AAFCO,c18_d3_n3_cis_cis_cis,MIN_per_1000kcal,0.2,g_per_1000kcal
canine,puppy_large_breed,AAFCO,epa_dha,MIN_per_1000kcal,0.1,g_per_1000kcal
canine,puppy_large_breed,AAFCO,calcium,MIN_per_1000kcal,3000,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,phosphorus,MIN_per_1000kcal,2500,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,sodium,MIN_per_1000kcal,800,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,chloride,MIN_per_1000kcal,1100,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,magnesium,MIN_per_1000kcal,150,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,iron,MIN_per_1000kcal,22,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,copper,MIN_per_1000kcal,3.1,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,manganese,MIN_per_1000kcal,1.8,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,zinc,MIN_per_1000kcal,25,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,iodine,MIN_per_1000kcal,250,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,selenium,MIN_per_1000kcal,90,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_a,MIN_per_1000kcal,375,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_d,MIN_per_1000kcal,3.125,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,alpha_tocopherol,MIN_per_1000kcal,8.375,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,thiamin,MIN_per_1000kcal,0.56,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,riboflavin,MIN_per_1000kcal,1.3,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_b5,MIN_per_1000kcal,3,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,niacin,MIN_per_1000kcal,3.4,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_b6,MIN_per_1000kcal,0.38,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,folate,MIN_per_1000kcal,54,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,cyanocobalamin,MIN_per_1000kcal,7,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,choline,MIN_per_1000kcal,340,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,calcium,MAX_per_1000kcal,4500,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,phosphorus,MAX_per_1000kcal,4000,mg_per_1000kcal
canine,puppy_large_breed,AAFCO,iodine,MAX_per_1000kcal,2750,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,selenium,MAX_per_1000kcal,500,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_a,MAX_per_1000kcal,18750,mcg_per_1000kcal
canine,puppy_large_breed,AAFCO,vitamin_d,MAX_per_1000kcal,18.75,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,protein,MIN_per_1000kcal,45,g_per_1000kcal
canine,adult_maintenance,AAFCO,arginine,MIN_per_1000kcal,1.28,g_per_1000kcal
canine,adult_maintenance,AAFCO,histidine,MIN_per_1000kcal,0.48,g_per_1000kcal
canine,adult_maintenance,AAFCO,isoleucine,MIN_per_1000kcal,0.95,g_per_1000kcal
canine,adult_maintenance,AAFCO,leucine,MIN_per_1000kcal,1.7,g_per_1000kcal
canine,adult_maintenance,AAFCO,lysine,MIN_per_1000kcal,1.58,g_per_1000kcal
canine,adult_maintenance,AAFCO,methionine,MIN_per_1000kcal,0.83,g_per_1000kcal
canine,adult_maintenance,AAFCO,methionine_cystine,MIN_per_1000kcal,1.63,g_per_1000kcal
canine,adult_maintenance,AAFCO,phenylalanine,MIN_per_1000kcal,1.13,g_per_1000kcal
canine,adult_maintenance,AAFCO,phenylalanine_tyrosine,MIN_per_1000kcal,1.85,g_per_1000kcal
canine,adult_maintenance,AAFCO,threonine,MIN_per_1000kcal,1.2,g_per_1000kcal
canine,adult_maintenance,AAFCO,tryptophan,MIN_per_1000kcal,0.4,g_per_1000kcal
canine,adult_maintenance,AAFCO,valine,MIN_per_1000kcal,1.23,g_per_1000kcal
canine,adult_maintenance,AAFCO,lipid,MIN_per_1000kcal,13.8,g_per_1000kcal
canine,adult_maintenance,AAFCO,c18_d2_n6_cis_cis,MIN_per_1000kcal,2.8,g_per_1000kcal
canine,adult_maintenance,AAFCO,calcium,MIN_per_1000kcal,1250,mg_per_1000kcal
canine,adult_maintenance,AAFCO,phosphorus,MIN_per_1000kcal,1000,mg_per_1000kcal
canine,adult_maintenance,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
canine,adult_maintenance,AAFCO,sodium,MIN_per_1000kcal,200,mg_per_1000kcal
canine,adult_maintenance,AAFCO,chloride,MIN_per_1000kcal,300,mg_per_1000kcal
canine,adult_maintenance,AAFCO,magnesium,MIN_per_1000kcal,150,mg_per_1000kcal
canine,adult_maintenance,AAFCO,iron,MIN_per_1000kcal,10,mg_per_1000kcal
canine,adult_maintenance,AAFCO,copper,MIN_per_1000kcal,1.83,mg_per_1000kcal
canine,adult_maintenance,AAFCO,manganese,MIN_per_1000kcal,1.25,mg_per_1000kcal
canine,adult_maintenance,AAFCO,zinc,MIN_per_1000kcal,20,mg_per_1000kcal
canine,adult_maintenance,AAFCO,iodine,MIN_per_1000kcal,250,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,selenium,MIN_per_1000kcal,80,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_a,MIN_per_1000kcal,375,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_d,MIN_per_1000kcal,3.125,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,alpha_tocopherol,MIN_per_1000kcal,8.375,mg_per_1000kcal
canine,adult_maintenance,AAFCO,thiamin,MIN_per_1000kcal,0.56,mg_per_1000kcal
canine,adult_maintenance,AAFCO,riboflavin,MIN_per_1000kcal,1.3,mg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_b5,MIN_per_1000kcal,3,mg_per_1000kcal
canine,adult_maintenance,AAFCO,niacin,MIN_per_1000kcal,3.4,mg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_b6,MIN_per_1000kcal,0.38,mg_per_1000kcal
canine,adult_maintenance,AAFCO,folate,MIN_per_1000kcal,54,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,cyanocobalamin,MIN_per_1000kcal,7,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,choline,MIN_per_1000kcal,340,mg_per_1000kcal
canine,adult_maintenance,AAFCO,calcium,MAX_per_1000kcal,6250,mg_per_1000kcal
canine,adult_maintenance,AAFCO,phosphorus,MAX_per_1000kcal,4000,mg_per_1000kcal
canine,adult_maintenance,AAFCO,iodine,MAX_per_1000kcal,2750,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,selenium,MAX_per_1000kcal,500,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_a,MAX_per_1000kcal,18750,mcg_per_1000kcal
canine,adult_maintenance,AAFCO,vitamin_d,MAX_per_1000kcal,18.75,mcg_per_1000kcal
feline,kitten,AAFCO,protein,MIN_per_1000kcal,75,g_per_1000kcal
feline,kitten,AAFCO,arginine,MIN_per_1000kcal,3.1,g_per_1000kcal
feline,kitten,AAFCO,histidine,MIN_per_1000kcal,0.83,g_per_1000kcal
feline,kitten,AAFCO,isoleucine,MIN_per_1000kcal,1.4,g_per_1000kcal
feline,kitten,AAFCO,leucine,MIN_per_1000kcal,3.2,g_per_1000kcal
feline,kitten,AAFCO,lysine,MIN_per_1000kcal,3,g_per_1000kcal
feline,kitten,AAFCO,methionine,MIN_per_1000kcal,1.55,g_per_1000kcal
feline,kitten,AAFCO,methionine_cystine,MIN_per_1000kcal,2.75,g_per_1000kcal
feline,kitten,AAFCO,phenylalanine,MIN_per_1000kcal,1.3,g_per_1000kcal
feline,kitten,AAFCO,phenylalanine_tyrosine,MIN_per_1000kcal,4.8,g_per_1000kcal
feline,kitten,AAFCO,threonine,MIN_per_1000kcal,1.83,g_per_1000kcal
feline,kitten,AAFCO,tryptophan,MIN_per_1000kcal,0.63,g_per_1000kcal
feline,kitten,AAFCO,valine,MIN_per_1000kcal,1.55,g_per_1000kcal
feline,kitten,AAFCO,lipid,MIN_per_1000kcal,22.5,g_per_1000kcal
feline,kitten,AAFCO,c18_d2_n6_cis_cis,MIN_per_1000kcal,1.4,g_per_1000kcal
feline,kitten,AAFCO,c18_d3_n3_cis_cis_cis,MIN_per_1000kcal,0.05,g_per_1000kcal
feline,kitten,AAFCO,c20_d4_n6,MIN_per_1000kcal,0.05,g_per_1000kcal
feline,kitten,AAFCO,epa_dha,MIN_per_1000kcal,0.03,g_per_1000kcal
feline,kitten,AAFCO,calcium,MIN_per_1000kcal,2500,mg_per_1000kcal
feline,kitten,AAFCO,phosphorus,MIN_per_1000kcal,2000,mg_per_1000kcal
feline,kitten,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
feline,kitten,AAFCO,sodium,MIN_per_1000kcal,500,mg_per_1000kcal
feline,kitten,AAFCO,chloride,MIN_per_1000kcal,750,mg_per_1000kcal
feline,kitten,AAFCO,magnesium,MIN_per_1000kcal,200,mg_per_1000kcal
feline,kitten,AAFCO,iron,MIN_per_1000kcal,20,mg_per_1000kcal
feline,kitten,AAFCO,copper,MIN_per_1000kcal,3.75,mg_per_1000kcal
feline,kitten,AAFCO,manganese,MIN_per_1000kcal,1.9,mg_per_1000kcal
feline,kitten,AAFCO,zinc,MIN_per_1000kcal,18.8,mg_per_1000kcal
feline,kitten,AAFCO,iodine,MIN_per_1000kcal,450,mcg_per_1000kcal
feline,kitten,AAFCO,selenium,MIN_per_1000kcal,75,mcg_per_1000kcal
feline,kitten,AAFCO,vitamin_a,MIN_per_1000kcal,500.1,mcg_per_1000kcal
feline,kitten,AAFCO,vitamin_d,MIN_per_1000kcal,1.75,mcg_per_1000kcal
feline,kitten,AAFCO,alpha_tocopherol,MIN_per_1000kcal,6.7,mg_per_1000kcal
feline,kitten,AAFCO,phylloquinone,MIN_per_1000kcal,25,mcg_per_1000kcal
feline,kitten,AAFCO,thiamin,MIN_per_1000kcal,1.4,mg_per_1000kcal
feline,kitten,AAFCO,riboflavin,MIN_per_1000kcal,1,mg_per_1000kcal
feline,kitten,AAFCO,vitamin_b5,MIN_per_1000kcal,1.44,mg_per_1000kcal
feline,kitten,AAFCO,niacin,MIN_per_1000kcal,15,mg_per_1000kcal
feline,kitten,AAFCO,vitamin_b6,MIN_per_1000kcal,1,mg_per_1000kcal
feline,kitten,AAFCO,folate,MIN_per_1000kcal,200,mcg_per_1000kcal
feline,kitten,AAFCO,biotin,MIN_per_1000kcal,18,mcg_per_1000kcal
feline,kitten,AAFCO,cyanocobalamin,MIN_per_1000kcal,5,mcg_per_1000kcal
feline,kitten,AAFCO,choline,MIN_per_1000kcal,600,mg_per_1000kcal
feline,kitten,AAFCO,taurine,MIN_per_1000kcal,250,mg_per_1000kcal
feline,kitten,AAFCO,methionine,MAX_per_1000kcal,3.75,g_per_1000kcal
feline,kitten,AAFCO,tryptophan,MAX_per_1000kcal,4.25,g_per_1000kcal
feline,kitten,AAFCO,vitamin_a,MAX_per_1000kcal,24997.5,mcg_per_1000kcal
feline,kitten,AAFCO,vitamin_d,MAX_per_1000kcal,188,mcg_per_1000kcal
feline,adult_maintenance,AAFCO,protein,MIN_per_1000kcal,65,g_per_1000kcal
feline,adult_maintenance,AAFCO,arginine,MIN_per_1000kcal,2.6,g_per_1000kcal
feline,adult_maintenance,AAFCO,histidine,MIN_per_1000kcal,0.78,g_per_1000kcal
feline,adult_maintenance,AAFCO,isoleucine,MIN_per_1000kcal,1.3,g_per_1000kcal
feline,adult_maintenance,AAFCO,leucine,MIN_per_1000kcal,3.1,g_per_1000kcal
feline,adult_maintenance,AAFCO,lysine,MIN_per_1000kcal,2.08,g_per_1000kcal
feline,adult_maintenance,AAFCO,methionine,MIN_per_1000kcal,0.5,g_per_1000kcal
feline,adult_maintenance,AAFCO,methionine_cystine,MIN_per_1000kcal,1,g_per_1000kcal
feline,adult_maintenance,AAFCO,phenylalanine,MIN_per_1000kcal,1.05,g_per_1000kcal
feline,adult_maintenance,AAFCO,phenylalanine_tyrosine,MIN_per_1000kcal,3.83,g_per_1000kcal
feline,adult_maintenance,AAFCO,threonine,MIN_per_1000kcal,1.83,g_per_1000kcal
feline,adult_maintenance,AAFCO,tryptophan,MIN_per_1000kcal,0.4,g_per_1000kcal
feline,adult_maintenance,AAFCO,valine,MIN_per_1000kcal,1.55,g_per_1000kcal
feline,adult_maintenance,AAFCO,lipid,MIN_per_1000kcal,22.5,g_per_1000kcal
feline,adult_maintenance,AAFCO,c18_d2_n6_cis_cis,MIN_per_1000kcal,1.4,g_per_1000kcal
feline,adult_maintenance,AAFCO,c20_d4_n6,MIN_per_1000kcal,0.05,g_per_1000kcal
feline,adult_maintenance,AAFCO,calcium,MIN_per_1000kcal,1500,mg_per_1000kcal
feline,adult_maintenance,AAFCO,phosphorus,MIN_per_1000kcal,1250,mg_per_1000kcal
feline,adult_maintenance,AAFCO,potassium,MIN_per_1000kcal,1500,mg_per_1000kcal
feline,adult_maintenance,AAFCO,sodium,MIN_per_1000kcal,500,mg_per_1000kcal
feline,adult_maintenance,AAFCO,chloride,MIN_per_1000kcal,750,mg_per_1000kcal
feline,adult_maintenance,AAFCO,magnesium,MIN_per_1000kcal,100,mg_per_1000kcal
feline,adult_maintenance,AAFCO,iron,MIN_per_1000kcal,20,mg_per_1000kcal
feline,adult_maintenance,AAFCO,copper,MIN_per_1000kcal,1.25,mg_per_1000kcal
feline,adult_maintenance,AAFCO,manganese,MIN_per_1000kcal,1.9,mg_per_1000kcal
feline,adult_maintenance,AAFCO,zinc,MIN_per_1000kcal,18.8,mg_per_1000kcal
feline,adult_maintenance,AAFCO,iodine,MIN_per_1000kcal,150,mcg_per_1000kcal
feline,adult_maintenance,AAFCO,selenium,MIN_per_1000kcal,75,mcg_per_1000kcal
feline,adult_maintenance,AAFCO,vitamin_a,MIN_per_1000kcal,249.9,mcg_per_1000kcal
feline,adult_maintenance,AAFCO,vitamin_d,MIN_per_1000kcal,1.75,mcg_per_1000kcal
