id,name,force,level,mechanic,equipment,category,primary_muscles,secondary_muscles,instructions
wger_907,Handstand Push Up,,,,,Shoulders,Shoulders|Triceps,Chest,Handstands Push Up which demand high level of skill
wger_908,Zone 2 Running,,,,,Cardio,,,"Zone two Cardio for endurance, you should be able to speak while running"
wger_923,LYING DUMBBELL ROW SS SEATED SHRUG,,,,Dumbbell,Back,Lats,,laying on the stomach on a bench with slight angle
wger_927,Suspended crossess,,,,none (bodyweight exercise),Cardio,Chest,,Suspension exercise with trx for chest training
wger_958,Biceps with TRX,,,,none (bodyweight exercise),Abs,Biceps,,"Grab the handles of the TRX straps, lean your body back, arms and legs extended, with your body positioned in a single straight line. (This is an arm exercise, not an abdominal one.)"
wger_960,Kettlebell Swing,,,,Kettlebell,Abs,Shoulders|Glutes,Quads|Abs|Trapezius,"While kettlebell swings are a full-body workout, they mostly target the muscles along the posterior chain (back of the body). The main muscles used are the glutes, hamstrings, spinal erectors, and muscles of the upper back."
wger_961,Swimming 50m sprints,,,,,Cardio,,,50m swimming sprints at 1min
wger_975,one-handed kettlebell curls,,,,Kettlebell,Arms,Biceps,,"Standing with the kettlebell in one hand and bent at the elbow, start from a fully extended position until your hand reaches shoulder height. To perform the movement correctly, try not to push with your back or body."
wger_976,Medicine ball booklet crunch,,,,none (bodyweight exercise),Abs,Abs,,Using a medicine ball as an overload will make the exercise heavier.
wger_977,Коробочный присед,,,,none (bodyweight exercise),Abs,Glutes|Quads|Soleus,,"Set up the box: Position the box behind you, about 3 feet from a squat rack if you're using a barbell. Choose a height that allows you to squat down and gently tap your glutes on the box with your back straight. Stand with proper form: Stand with your feet shoulder-width apart, toes pointed slightly outward. Engage your core and keep your back neutral. If using a barbell, rack it at shoulder height. Lower down: Sit back as if going to sit on a chair, bending your knees and lowering your hips towards the box. Keep your core tight and back straight throughout the movement. Controlled descent: Descend in a controlled manner until your glutes gently touch the box. Don't plop down. Pause and press up: Briefly pause at the bottom with your back straight and core engaged. Then, press through your heels to drive yourself back up to the starting position. Improvements in coordination, balance and endurance, toning of the leg and buttock muscles and an overall increase in bone density eliminating the risk of osteoporosis."
wger_978,Knee Raises,,,,Pull-up bar,Abs,Abs,Obliquus externus abdominis,The 90° leg raise on the bar is a very intense exercise that involves all the abdominal muscles.
wger_804,Sloper hanging,,,,none (bodyweight exercise),Arms,,,Hanging on sloper holds of a fingerboard for a amount of seconds
wger_20,Arnold Shoulder Press,,,,Dumbbell,Shoulders,,,Very common shoulder exercise. &nbsp; As shown here:&nbsp;https://www.youtube.com/watch?v=vj2w851ZHRM
wger_43,Barbell Hack Squats,,,,Barbell,Legs,,,Perform leg squats with barbell behind your legs
wger_801,Dumbbell Push-Up,,,,Dumbbell,Chest,,,"Normal Push-ups on Dumbbells, this brings a further range of movement"
wger_12,Seated Hip Adduction,,,,,Legs,Glutes,,Starting Position: Sit on the machine with your knees inward and against the pads. Pull the pin to release the pads. Grab the handles on the sides.b
wger_46,Barbell Lunges Standing,,,,Barbell,Legs,Quads,Glutes,"Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg. Remember to keep good posture."
wger_802,Barbell Lunges Walking,,,,Barbell,Legs,,,
wger_41,Barbell Ab Rollout,,,,Barbell,Abs,Obliquus externus abdominis,,"Place a barbell on the floor at your feet. Bending at the waist, grip the barbell with a shoulder with overhand grip. With a slow controlled motion, roll the bar out so that your back is straight. Roll back up raising your hips and butt as you return to the starting position."
wger_50,Barbell Triceps Extension,,,,Barbell,Arms,Triceps,Shoulders|Chest,Position barbell overhead with narrow overhand grip. Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.
wger_48,Barbell Reverse Wrist Curl,,,,"Barbell, Bench",Arms,,,"Sitting on a bench, grab a barbell with your palms facing down and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Curl your knuckles towards your face, lifting the barbell. Pause for a moment in the top position, then slowly return the barbell to the starting position."
wger_962,Elliptical,,,,none (bodyweight exercise),Cardio,Glutes|Quads|Trapezius,Biceps|Abs|Triceps,"It improves muscle toning, strengthens the leg muscles (quads, glutes, calves), helps vascularisation and increases resistance. The elliptical is also very useful if you aim to lose weight. Teste"
wger_983,High knees,,,,none (bodyweight exercise),Cardio,,,"Starting positionStand straight. Steps: Run in place, putting knees as high up as is comfortable and switching legs at a quick pace."
wger_984,Lunges,,,,none (bodyweight exercise),Legs,,,"Starting position: Stand with back straight. Steps: Take a large step forward with your left leg. Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Return to the starting position by stepping back. Repeat, switching legs each time."
wger_821,Pullup on fingerboard,,,,none (bodyweight exercise),Arms,,,Pullup on a choosen edge of a fingerboard / hangboard
wger_985,Push-up rotations,,,,none (bodyweight exercise),Arms,,,"Starting position: Get into the starting push-up position, with your hands and toes touching the ground and back, arms and legs straight. To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight. Steps: Perform a standard push-up: 1.a Bend arms until chest almost touches the ground, making sure the back is straight.1.b Use your arms to lift yourself back up to starting position. Rotate your body to the side so that the back is straight, the bottom hand supporting the body is fully extended, and only the bottom hand and foot touch the floor. Repeat, changing sides at step 2 each time."
wger_986,Side split squats left,,,,none (bodyweight exercise),Legs,,,"Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat."
wger_987,Side split squats right,,,,none (bodyweight exercise),Legs,,,"Starting position: Stand tall and take a wide lateral stride, just greater than shoulder width. Steps: Bend one knee until your thigh is parallel to the floor. The bent knee must be in line with the foot. Push back to the starting position. Repeat."
wger_988,Bulgarian split squats left,,,,none (bodyweight exercise),Legs,,,"Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat."
wger_989,Bulgarian split squats right,,,,none (bodyweight exercise),Legs,,,"Stand tall in front of a chair and take a large step. Put the upper part of one of your feet on the chair. Bend the front knee, balancing with arms until the back knee almost touches the ground. Push back to the starting position and repeat."
wger_990,Kneeling kickbacks,,,,none (bodyweight exercise),Legs,,,"Starting position: Get down on all fours. Steps: Push one foot back until fully extended, concentrating on the gluteus muscles. Stay for one second, then return to the initial position. Repeat, alternating feet."
wger_991,Split squats left,,,,none (bodyweight exercise),Legs,,,Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.
wger_909,Reverse Nordic Curl,,,,,Legs,Quads,Glutes|Abs,Natural Leg Extension is alternative to Leg Extension machine with no equipment.&nbsp;&nbsp;
wger_912,Straight Bar Cable Curls,,,,,Arms,Biceps,,Standing upright in front of Cable Tower using a straight bar
wger_924,Cable Fly,,,,,Chest,Chest,,"cable machine, two steps forward, straight back"
wger_992,Split squats right,,,,none (bodyweight exercise),Legs,,,Starting position: Stand with your back straight. Take a large step forward with your left leg. Steps: Bring your pelvis down until you almost touch the floor with your right knee. Bring your pelvis back up. Repeat.
wger_993,Jump rope: basic jumps,,,,none (bodyweight exercise),Cardio,,,"Starting position: Put your feet close together, bend the knees a bit, keep your head and body straight, keep elbows in, open your arms. Steps: Spin only your wrists with enough force to make the rope spin. Jump just high enough to pass the rope below your feet. Repeat. Notes: This exercise requires a jump rope. Make sure the rope length is adjusted to your height. One way to check is to grab both handles with one hand and stand on the middle of the rope hanging on the ground with one foot. If the rope (excluding the handles) reaches just below your chest, its length is right. A shorter rope would be hazardous, as you might hit yourself, and a longer rope would make for bad form."
wger_959,TRX Rows,,,,none (bodyweight exercise),Abs,Shoulders|Biceps|Lats,,This exercise serves as a lead-up to Pull Ups.
wger_979,Leg raises pull up bar,,,,Pull-up bar,Abs,Abs,Obliquus externus abdominis|Quads,"with a firm grip with both hands on the bar, raise your outstretched legs, until you reach a 90° angle with your torso."
wger_994,Forward arm circles,,,,none (bodyweight exercise),Arms,,,"Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, move them down, behind your back, then over your head, and back to the initial position. Keep circling your arms as described in step 1."
wger_995,Backward arm circles,,,,none (bodyweight exercise),Arms,,,"Starting position: Stand tall with your back straight. Steps: Keeping your arms straight, bring them in front of you, raise them over your head, then continue the motion behind your back and down to the initial position. Keep circling your arms as described in step 1."
wger_996,Mountain climbers,,,,none (bodyweight exercise),Chest,,,"Starting position: Start in the upright push-up position, aka. the high plank position.Hands should be directly under your shoulders.Keep your head in line with your back, facing the floor.Feet should be about hip-width apart. Steps: Move one knee toward the center of your body, towards your elbows, keeping the other leg extended. In a quick jumping movement, straighten the bent leg out and pull the other knee toward your body. Keep repeating step 2, alternating legs. Notes: Throughout the exercise, your back should remain as straight as possible – avoid a hump or a sagging back."
wger_997,4-count burpees,,,,none (bodyweight exercise),Chest,,,"Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to return to the squat position. Repeat."
wger_998,No push-up burpees,,,,none (bodyweight exercise),Chest,,,"Starting position: Stand straight, feet hip-width apart. Steps: Squat low and support yourself on the floor with your hands between the knees and in front of your feet, your back straight. Keeping your hands on the floor, jump your legs backward into high plank position. Jump your feet forward to return to the squat position. Jump up. Repeat."
wger_999,Reverse lunges,,,,none (bodyweight exercise),Legs,,,"Starting position: Stand straight, feet hip-width apart. Steps: Step backward with one leg so it can bend comfortably to a 90 degree angle. Slowly bend both knees to form 90 degree angles. Return to the starting position. Repeat, alternating legs."
wger_1000,Floor dips,,,,none (bodyweight exercise),Arms,,,"Starting position: Sit with your arms behind you, supporting your back.Your fingers should point forward.Your knees should be bent, feet together. Steps: Raise your hips off the ground, straightening your arms. Bend your elbows, bringing your hips down. Straighten your arms, returning to the previous position. Repeat steps 2 and 3. Notes: The exercise's difficulty depends on how high you bring your hips."
wger_1001,High plank,,,,none (bodyweight exercise),Chest,,,"Starting position: Get into the high plank position:your hands and toes should be touching the ground, your back, arms and legs should be straight.To get to this position, you can lie down on your stomach, place your hands facing down next to your head, and lifting your arms up until they are straight. Steps: Maintain the starting position for the entire duration of the exercise."
wger_1002,Child's pose,,,,none (bodyweight exercise),Back,,,"Starting position: Start on all fours, knees, toes, and hands touching the ground. Your two big toes should be touching. Steps: Move your knees so that they're about hip-width apart. On an exhale, move your pelvis back to sit on your heels. Your hands should still be touching the ground. Relax your upper body, lowering your forehead to the floor and letting your hands move forward naturally. Stay in this pose. Tips: To leave the pose, walk your arms back under your shoulders and move your upper body up into a seated position."
wger_1003,Kettlebell deadlifts,,,,Kettlebell,Back,,,"Starting position: Stand hip-width apart, with your kettlebell centered between your ankles. Your back should be straight, your head facing forward. Steps: Hinge at the hips and slightly bend at the knees to put your hands on the kettlebell handles. Your back should be straight as you perform the movement. Grab the kettlebell handles, with your hands pushing in opposite directions as if to pull the handle apart. While contacting your abs and glutes, stand straight up. Hinge at the hips again to bring the kettlebell back down, similarly to step 1. Repeat from step 3. Tips: Be sure you're performing the movements correctly, as doing otherwise can lead to injury. For example, do not squat instead of hinging at the hips, do not round your back while reaching for the kettlebell, and do not lean back while standing up."
wger_92,Biceps Curls With Dumbbell,,,,Dumbbell,Arms,Biceps,Brachialis,"Hold two barbells, the arms are streched, the hands are on your side, the palms face inwards. Bend the arms and bring the weight with a fast movement up. At the same time, rotate your arms by 90 degrees at the very beginning of the movement. At the highest point, rotate a little the weights further outwards. Without a pause, bring them down, slowly. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows)."
wger_83,Bent Over Rowing,,,,Barbell,Back,Lats,Shoulders|Biceps,"Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position. Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause. Then inhale and slowly lower the barbell back to the starting position. Repeat for the recommended amount of repetitions."
wger_112,Body-Ups,,,,none (bodyweight exercise),Arms,,,"Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position. Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement. Slowly lower your forearms back to the ground by allowing the elbows to flex. Repeat as needed."
wger_81,Bent Over Dumbbell Rows,,,,"Bench, Dumbbell",Back,Lats,,"With dumbbells in hand, bend at the hip until hands hang just below the knees (similar to straight-legged-deadlift starting position). Keep upper body angle constant while contracting your lats to pull you ellbows back pinching the shoulder blades at the top. Try not to stand up with every rep, check hands go below knees on every rep."
wger_94,Biceps Curls With SZ-bar,,,,SZ-Bar,Arms,Biceps,Brachialis,"Hold the SZ-bar shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows)."
wger_82,Bent-over Lateral Raises,,,,"Bench, Dumbbell",Shoulders,,,"Sit on bench while holding weights. Bend forward as far as possible, with arms slightly bent at the elbow. Perform a lateral raise while maintaining the bend in your elbow."
wger_75,Benchpress Dumbbells,,,,"Bench, Dumbbell",Chest,Chest,Shoulders|Triceps,"The movement is very similar to benchpressing with a barbell, however, the weight is brought down to the chest at a lower point. Hold two dumbbells and lay down on a bench. Hold the weights next to the chest, at the height of your nipples and press them up till the arms are stretched. Let the weight slowly and controlled down."
wger_91,Biceps Curls With Barbell,,,,Barbell,Arms,Biceps,Brachialis,"Hold the Barbell shoulder-wide, the back is straight, the shoulders slightly back, the arms are streched. Bend the arms, bringing the weight up, with a fast movement. Without pausing, let down the bar with a slow and controlled movement. Don't allow your body to swing during the exercise, all work is done by the biceps, which are the only mucles that should move (pay attention to the elbows)."
wger_73,Bench Press,,,,"Barbell, Bench",Chest,Chest,Shoulders|Triceps,"Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up. If you train with a high weight it is advisable to have a spotter that can help you up if you can't lift the weight on your own. With the width of the grip you can also control which part of the chest is trained more: wide grip: outer chest muscles narrow grip: inner chest muscles and triceps"
wger_76,Bench Press Narrow Grip,,,,"Barbell, Bench",Arms,Triceps,Shoulders|Chest,"Lay down on a bench, the bar is directly over your eyes, the knees form a slight angle and the feet are firmly on the ground. Hold the bar with a narrow grip (around 20cm.). Lead the weight slowly down till the arms are parallel to the floor (elbow: right angle), press then the bar up. When bringing the bar down, don't let it down on your nipples as with the regular bench pressing, but somewhat lower."
wger_95,Biceps Curl With Cable,,,,,Arms,Biceps,,"Stand around 30 - 40cm away from the cable, the feet are firmly on the floor. Take the bar and lift the weight with a fast movements. Lower the weight as with the dumbbell curls slowly and controlled."
wger_803,One Arm Triceps Extensions on Cable,,,,,Arms,,,
wger_71,Single Leg Extension,,,,,Legs,Quads,,
wger_79,Bent High Pulls,,,,Dumbbell,Shoulders,Trapezius,,"Bend over slightly while holding two dumbbells. Pull the dumbbells up to your chest, keeping your elbows as high as you can."
wger_1004,Forward shoulder rotation,,,,none (bodyweight exercise),Back,,,Starting position: Sit or stand with your back straight. Steps: Place your hands on your shoulders. Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.
wger_1005,Backward shoulder rotation,,,,none (bodyweight exercise),Back,,,Starting position: Sit or stand with your back straight. Steps: Place your hands on your shoulders. Repeatedly rotate both shoulder joints in a circular motion at a moderate pace.
wger_1006,Chin tuck,,,,none (bodyweight exercise),Back,,,"Starting position: Sit or stand with your back straight. Steps: Use fingers on your chin to slowly tuck your chin in, moving your head back to align it with your spine. Hold for 5 seconds. Go back to normal head position and repeat."
wger_1007,Head turns,,,,none (bodyweight exercise),Shoulders,,,"Starting position: Sit or stand with your back straight and shoulders down. Steps: Sit or stand up straight, shoulders dropped. Turn your head to the side as far as possible. Stop when you hit a barrier and hold for 5 seconds. Return to center position and repeat, changing sides."
wger_1008,Left neck stretch,,,,none (bodyweight exercise),Shoulders,,,Starting position: Sit or stand with your back straight. Steps: Tilt your head to the side. Take the hand closer to your head and use it to grab your head from the other side. Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still. Maintain this tension until the end of the exercise.
wger_1009,Right neck stretch,,,,none (bodyweight exercise),Shoulders,,,Starting position: Sit or stand with your back straight. Steps: Tilt your head to the side. Take the hand closer to your head and use it to grab your head from the other side. Push with your hand against your head and with your head against your hand so that the forces balance out and your head stays still. Maintain this tension until the end of the exercise.
wger_1010,Back neck stretch,,,,none (bodyweight exercise),Back,,,"Starting position: Sit upright on a chair or a firm pillow. Steps: Breathe out and tilt your head forward, chin to chest, putting hands behind your head. Use your hands to pull your head down lightly and press against your hands with your head to balance out the force. Hold for a bit. Relax your arms and head, opening up a bit with your shoulders. Keep repeating this from step 2 onward."
wger_1630,Blaze,,,,"Bench, Dumbbell, Kettlebell, none (bodyweight exercise)",Cardio,Shoulders|Glutes|Chest|Quads,Biceps|Hamstrings|Lats|Abs,"BLAZE is a full-body HIIT workout. Designed to supercharge your cardio fitness and strength.&nbsp;Delivered in its own purpose-built studio, BLAZE is a unique mix of martial arts, intense cardio and strength training."
wger_265,Glute Bridge,,,,,Legs,Glutes,Hamstrings,"Lie on you back with your hips and knees flexed, feet on the ground. From this position, raise your butt off of the ground to a height where your body makes a straight line from your knees to your shoulders. To make the exercise more intense, you can add weight by letting a barbell rest on your hips as you complete the motion, or you can put your feet on a slightly higher surface such as a step or a bench."
wger_1697,Lat Pulldown (Wide Grip),,,,,Back,Lats,,"Execution Starting position: Arms extended overhead, feeling a stretch in your lats. Keep your shoulders depressed (don’t shrug upward). Pulling phase (concentric): Pull the bar&nbsp; down to your upper chest or collarbone area &nbsp;by driving your&nbsp; elbows down and back . Keep your&nbsp; chest lifted &nbsp;and squeeze your&nbsp; shoulder blades together &nbsp;at the bottom."
wger_1012,Alternating bicep curls,,,,Dumbbell,Arms,,,"Starting position: Start standing up with dumbbells in each hand, your back straight and feet hip-width apart. Your arms should be relaxed, pointing down. Your knees should be slightly bent, your abs contracted, and your shoulders down. Steps: Bend one arm at the elbow, bringing the dumbbell up to your shoulder. Your upper arm should remain motionless during this movement. Bring the dumbbell back down until your arm is in its original relaxed position. Repeat, switching arms."
wger_1013,Left levator scapulae stretch,,,,none (bodyweight exercise),Back,,,"Starting position: Start standing up or sitting down. Turn your head to the left, around 45 degrees or just above your nipple. Place your right hand behind your back or sit on it. Take your left hand and use it to hold the back of your head. Lean your head down slightly. Steps: After assuming the starting position, press your head against your left hand with slight force. Your hand should press back with equal force, so that your head doesn't move. Hold this position."
wger_1014,Right levator scapulae stretch,,,,none (bodyweight exercise),Back,,,"Starting position: Start standing up or sitting down. Turn your head to the right, around 45 degrees or just above your nipple. Place your left hand behind your back or sit on it. Take your right hand and use it to hold the back of your head. Lean your head down slightly. Steps: After assuming the starting position, press your head against your right hand with slight force. Your hand should press back with equal force, so that your head doesn't move. Hold this position."
wger_1015,Clockwise neck circles,,,,none (bodyweight exercise),Back,,,"Starting position: Start sitting or standing. Drop your head down, bringing your chin toward your chest, but not pushing. Steps: In a slower fluid motion and with your head relaxed and not pushing in any direction: lean toward your right shoulder. then bring your head back, facing up. then lean toward your left shoulder.4.and back toward the starting position. Keep repeating this as part of one slower fluid motion."
wger_1016,Counterclockwise neck circles,,,,none (bodyweight exercise),Back,,,"Starting position: Start sitting or standing. Drop your head down, bringing your chin toward your chest, but not pushing. Steps: In a slower fluid motion and with your head relaxed and not pushing in any direction: lean toward your left shoulder. then bring your head back, facing up. then lean toward your right shoulder.4.and back toward the starting position. Keep repeating this as part of one slower fluid motion."
wger_1017,Neck half circles,,,,none (bodyweight exercise),Back,,,"Starting position: Start sitting or standing. Lean your head against one of your shoulders, but don't push. Steps: In one slower fluid motion and with your head relaxed and not pushing in any direction: bring your head down toward your chest. then lean back aganst your other shoulder. then back toward the chest again.4.and finally toward the starting position. Keep repeating this."
wger_1018,Head tilts,,,,none (bodyweight exercise),Back,,,Starting position: Sit or stand with your back straight. Steps: Tilt your head to one side and hold for a bit.2.Return your head to neutral position and hold for a bit. Tilt your head to the other side and hold for a bit. Return your head to neutral position yet again and hold for a bit. Repeat.
wger_1019,Side plank right,,,,none (bodyweight exercise),Abs,,,"Starting position: Lie down on your side, with your bottom elbow at a right angle, arm sticking out. Lift your pelvis off the floor by lifting your bottom shoulder up, keeping the forearm on the floor; your head, pelvis, and feet should be in a straight line. Steps: Hold this position."
wger_1020,Pistol squats right,,,,none (bodyweight exercise),Legs,,,"Stand on one leg, with your other leg straight and slightly forward. Bend one knee slowly, descending into a squat and keeping your back and your other leg straight. Slowly raise yourself from the squat, straightening the bent knee and keeping the other leg straight. Repeat."
wger_1021,"Calf raises, right leg",,,,none (bodyweight exercise),Calves,,,Stand on the floor or on the edge of a step to increase the range of movement.&nbsp; Raise one foot. Lift your heel until you're standing on your toes. (variable) Stay in this position for three seconds Slowly lower your foot until you almost touch the ground with your heel - don't slam your foot!
wger_910,Nordic Curl,,,,,Legs,Hamstrings,Glutes,"The Nordic hamstring curl is one of the best lower-body exercises to&nbsp;build posterior leg strength, improve knee health, and prevent injury."
wger_913,Reverse Preacher Curl (Close Grip),,,,SZ-Bar,Arms,Biceps,,Sitting reverse on a Biceps Bench with a close grip
wger_925,SMITH MACHINE SLIGHT INCLINE PRESS,,,,,Chest,Chest,,"laying under smith machine, with slight incline"
wger_158,Close-grip Lat Pull Down,,,,,Back,Lats,,"Grip the pull-down bar with your hands closer than shoulder width apart, with your palms facing away from you. Lean back slightly. Pull the bar down towards your chest, keeping your elbows close to your sides as you come down. Pull your shoulders back at the end of the motion."
wger_124,Braced Squat,,,,,Legs,Quads,Glutes,"Stand with feet slightly wider than shoulder-width apart, while standing as tall as you can. Grab a weight plate and hold it out in front of your body with arms straight out. Keep your core tight and stand with a natural arch in your back. Now, push hips back and bend knees down into a squat as far as you can. Hold for a few moments and bring yourself back up to the starting position."
wger_51,Barbell Wrist Curl,,,,"Barbell, Bench",Arms,Shoulders|Hamstrings,Biceps|Obliquus externus abdominis,"Sitting on a bench, grab a barbell with your palms facing up and your hands shoulder-width apart. Rest your forearms on your thighs and allow your wrists to hang over your knees. Perform the movement by curling your palms and wrists towards your face. Pause for a moment in the top position, then slowly return the barbell to the starting position."
wger_146,Calf Press Using Leg Press Machine,,,,,Calves,Calves|Soleus,,"Put the balls of your feet on an extended leg press pad. Use your calves to press the weight by flexing your feet/toes into a pointed position, and releasing back into a relaxed position. This exercise builds mass and strength in the Gastrocnemius and Soleus muscles as well, if not better, than any calf exercise."
wger_154,Chin-ups,,,,Pull-up bar,Back,Lats,,"The chin-up (also known as a chin or chinup) is a strength training exercise. People frequently do this exercise with the intention of strengthening muscles such as the latissimus dorsi and biceps, which extend the shoulder and flex the elbow, respectively. In this maneuver, the palms are faced towards the body. It is a form of pull-up in which the range of motion is established in relation to a person's chin."
wger_148,Calf Raises on Hackenschmitt Machine,,,,,Calves,Calves,Soleus,"Place yourself on the machine with your back firmly against the backrest, the feet are on the platform for calf raises. Check that the feet are half free and that you can completely stretch the calf muscles down. With straight knees pull up your weight as much as you can. Go with a fluid movement down till the calves are completely stretched. Repeat."
wger_137,Butterfly Narrow Grip,,,,,Chest,Chest,,"The movement is the same as with a regular butterfly, only that the grip is narrow: Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air."
wger_165,Ball crunches,,,,,Abs,,,
wger_135,Butterfly,,,,,Chest,Chest,Shoulders,"Sit on the butterfly machine, the feet have a good contact with the floor, the upper arms are parallel to the floor. Press your arms together till the handles are practically together (but aren't!). Go slowly back. The weights should stay all the time in the air."
wger_172,Crunches on Machine,,,,,Abs,Abs,,"The procedure is very similar as for regular crunches, only with the additional weight of the machine. Sit on the machine, put both feet firmly on the ground. Grab the to the weights, cables, etc. and do a rolling motion forwards (the spine should ideally lose touch vertebra by vertebra). Slowly return to the starting position."
wger_132,Burpees,,,,,Chest,,,"Jump, lay down on your chest, do a pushup then jump, repeat"
wger_171,Incline Crunches,,,,Incline bench,Abs,Abs,,"Lay down on your back on a inclined bench, feet are on one end of the bench. Ask a partner or use some other help (barbell, etc.) to keep them fixed, your hands are behind your head. From this position move your upper body up till your head or elbows touch your knees. Do this movement by rolling up your back."
wger_139,Butterfly Reverse,,,,,Shoulders,Shoulders,,
